DXEX v7
C:\Users\Ecole Polytech\Documents\My Flow Projects\TestComp.lda
5:06:07 PM
3;0.00 mm;0.00 mm;0.00 mm
0:3
"Particle Size [um]"	"Counts Number"	
0.3	671
0.8	1592
1.3	3353
1.9	4794
2.4	5355
2.9	5686
3.4	5664
4.0	5118
4.5	4211
5.0	3488
5.6	2816
6.1	2376
6.6	1865
7.2	1518
7.7	1189
8.2	975
8.7	769
9.3	637
9.8	526
10.3	464
10.9	383
11.4	322
11.9	249
12.5	243
13.0	198
13.5	142
14.0	164
14.6	102
15.1	86
15.6	72
16.2	77
16.7	52
17.2	59
17.8	49
18.3	31
18.8	29
19.3	49
19.9	24
20.4	28
20.9	28
21.5	23
22.0	12
22.5	23
23.1	12
23.6	14
24.1	11
24.6	16
25.2	11
25.7	13
26.2	15
26.8	11
27.3	11
27.8	22
28.4	11
28.9	7
29.4	11
29.9	20
30.5	15
31.0	8
31.5	11
32.1	7
32.6	10
33.1	10
33.7	11
34.2	6
34.7	6
35.2	6
35.8	8
36.3	5
36.8	5
37.4	8
37.9	5
38.4	5
39.0	6
39.5	4
40.0	6
40.5	6
41.1	6
41.6	4
42.1	2
42.7	3
43.2	2
43.7	4
44.3	4
44.8	6
45.3	5
45.8	2
46.4	6
46.9	5
47.4	3
48.0	7
48.5	3
49.0	8
49.6	4
50.1	9
50.6	5
51.1	10
51.7	9
52.2	8
52.7	5
