DXEX v7
C:\Users\Ecole Polytech\Documents\My Flow Projects\TestComp.lda
8:34:04 AM
5;0.00 mm;0.00 mm;0.00 mm
0:3
"Particle Size [um]"	"Counts Number"	
0.3	3725
0.8	5636
1.3	16573
1.9	18257
2.4	12561
2.9	5723
3.4	6364
4.0	4088
4.5	5336
5.0	3667
5.6	2582
6.1	1387
6.6	1705
7.2	1591
7.7	1395
8.2	1031
8.7	731
9.3	638
9.8	702
10.3	650
10.9	517
11.4	399
11.9	293
12.5	334
13.0	358
13.5	266
14.0	257
14.6	195
15.1	225
15.6	216
16.2	189
16.7	138
17.2	155
17.8	123
18.3	126
18.8	110
19.3	106
19.9	99
20.4	89
20.9	90
21.5	82
22.0	66
22.5	79
23.1	59
23.6	71
24.1	65
24.6	57
25.2	59
25.7	50
26.2	51
26.8	48
27.3	51
27.8	37
28.4	43
28.9	40
29.4	40
29.9	32
30.5	31
31.0	24
31.5	31
32.1	18
32.6	19
33.1	27
33.7	21
34.2	18
34.7	12
35.2	13
35.8	14
36.3	24
36.8	17
37.4	16
37.9	11
38.4	10
39.0	8
39.5	11
40.0	17
40.5	9
41.1	8
41.6	9
42.1	7
42.7	4
43.2	5
43.7	7
44.3	5
44.8	6
45.3	4
45.8	4
46.4	1
46.9	4
47.4	4
48.0	1
48.5	4
49.0	2
49.6	3
50.1	4
50.6	0
51.1	3
51.7	5
52.2	0
52.7	2
